trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,10,4.8082319843600985,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-86.84182572753652,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",35,20,-28.30970394023696,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-174.58960450026376,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-78.17962716322128,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,2,-105.0728985889887,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-61.01484130208515,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,9,-13.442688134884477,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,6,-56.43556960401351,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,18,6.737374602600139,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-86.58968540805007,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",30,0,-71.49263362852368,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-28.406841294162664,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",30,20,-1.0136456671747824,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-38.605086635254736,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,7,-72.47305512609839,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",30,0,-69.7062759793504,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,14,-7.718280820526494,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,7,-70.99457113387159,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-73.20465129489192,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,7,-53.53060935049587,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,8,-79.68329711952016,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,9,-25.31635295677874,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",35,0,-89.17391031563318,"{0: 27, 1: 2, 2: 3, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916993}",25,0,-141.58248409496727,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-39.980276694428596,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655897}",25,2,2.7334640753126678,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5015760690660556}",25,0,-24.16987174085723,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.4965853037914095}",25,10,-28.651739217555026,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.49164419746096516}",35,19,21.835219628128893,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-30.625587321075134,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,0,-96.71153667698782,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.47711391552103444}",25,12,-41.9619986518959,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.47236655274101474}",20,2,-84.39757841770572,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,17.209513665706602,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,0,19.41755633264456,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.45840601130522357}",20,14,0.0025156769744958396,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,9,-21.23181545171279,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-82.29069054504683,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,6,9.522744725152519,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,0,-82.78852185892389,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,2,-24.999619752654677,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,5.189794326258263,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",30,10,12.234257077918556,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,16,3.524994186105663,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-6.579729067760146,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,3,-72.51033543158954,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,13,-23.508489941960597,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,3,-1.861366981775265,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,0,-35.851213786470915,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.3985190410845142}",20,0,16.195728499802946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39455371037160114}",20,0,-15.872562419115658,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,3,-93.34082543554106,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 3}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,3,27.425089494518296,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-27.466300914418607,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,13.722368056108227,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,0,0.9299839629542568,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,2,-132.6306823758999,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 3}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,17,22.704217848192638,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,-27.291212287330698,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,8,-108.01364190310919,"{0: 11, 1: 1, 2: 0, 3: 4, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,8,8.295293281752013,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,1,-34.335074275631534,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,0,4.443600929954784,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.34645581033005746}",20,4,-26.451419474453775,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.3430085174187067}",25,8,-14.17855126304482,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.33959552564493917}",20,16,6.136434981961052,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,0,1.905012655333503,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
